Date,Physical,Intellectual,Emotional,Passion,Wisdom,Mastery,Average,Intuitional,Aesthetic,Self-Awareness,Spiritual
1943-01-04 00:00:00,0.816969893010442,0.22252093395631384,-0.28173255684143006,0.26761866808450596,-0.02960581144255811,0.5197454134833779,0.25258609004177524,-0.6142127126896679,-0.8132897407355655,-0.9238795325112868,-0.978556492299504
1943-01-04 01:00:00,0.8103529996195737,0.21339578555794994,-0.28933557106345287,0.26050871427806044,-0.037969892752751463,0.5118743925887619,0.2448044047046903,-0.6196348431094447,-0.8168172106423606,-0.9259529948474833,-0.9795620041850601
1943-01-04 02:00:00,0.8036311154549785,0.20425198178968035,-0.29692037532827475,0.25335537006335185,-0.0463341967692972,0.5039415486223294,0.23698757397212802,-0.6250275629096785,-0.8203144027795108,-0.9279989121921846,-0.980543615043635
1943-01-04 03:00:00,0.7968051114159047,0.19509032201612836,-0.30448649226990665,0.24615930957299903,-0.054698085126889145,0.49594771671601656,0.22913631372070883,-0.6303906161279551,-0.8237811875131444,-0.9300172236840121,-0.9815013009242101
1943-01-04 04:00:00,0.7898758718915592,0.1859116071629152,-0.31203344569848696,0.2389212130965361,-0.06306091926778588,0.4878937395272372,0.22125134445199582,-0.6357237482099677,-0.8272174363365298,-0.9320078692827984,-0.9824350384595295
1943-01-04 05:00:00,0.7828442946465192,0.1767166396466406,-0.3195607606302496,0.2316417670081348,-0.07142206049180448,0.4797804671465799,0.21333339122097006,-0.6410267060216002,-0.8306230218748409,-0.9339707897713734,-0.98334480486667
1943-01-04 06:00:00,0.7757112907044201,0.16750622330473716,-0.327067963317421,0.22432166369349957,-0.07978087000634192,0.47160875700457866,0.20538318356391208,-0.6462992378609405,-0.8339978178898777,-0.9359059267573255,-0.9842305779475967
1943-01-04 07:00:00,0.7684777842299211,0.15828116332519573,-0.3345545812780345,0.2169616014759433,-0.08813670897641938,0.4633794737775584,0.1974014554256941,-0.6515410934702284,-0.8373416992847457,-0.9378132226747395,-0.9850923360897051
1943-01-04 08:00:00,0.7611447124089654,0.14904226617617533,-0.34202014332566805,0.20956228454164869,-0.09648893857474636,0.4550934892925704,0.18938894508649087,-0.6567520240477339,-0.8406545421084937,-0.9396926207859082,-0.985930058266348
1943-01-04 09:00:00,0.7537130253273617,0.13979033953550046,-0.3494641795990974,0.20212442286413215,-0.10483692003179848,0.4467516824314311,0.18134639508792158,-0.661931782259566,-0.8439362235607066,-0.9415440651830206,-0.9867437240373488
1943-01-04 10:00:00,0.7461836858476864,0.13052619222005263,-0.3568862215918711,0.19464873212790762,-0.11318001468590924,0.43835493903386946,0.1732745521586226,-0.6670801222514126,-0.8471866219960599,-0.943367500789825,-0.9875333135495001
1943-01-04 11:00:00,0.7385576694845332,0.12125063411506265,-0.36428580218179335,0.1871359336513699,-0.12151758403336535,0.4299041517997979,0.1651741671392675,-0.6721967996602098,-0.850405616928827,-0.9451628733632675,-0.9882988075370485
1943-01-04 12:00:00,0.7308359642781252,0.1119644761033095,-0.3716624556603263,0.17958675430889948,-0.1298489897785084,0.4214002201907174,0.15704599490703616,-0.6772815716257404,-0.8535930890373461,-0.9469301294951054,-0.9890401873221638
1943-01-04 13:00:00,0.7230195706663021,0.10266852999423011,-0.379015717761899,0.17200192645220153,-0.13817359388383446,0.4128440503302661,0.1488907942995444,-0.6823341968021608,-0.8567489201684425,-0.948669216613496,-0.989757434815396
1943-01-04 14:00:00,0.7151095013549009,0.09336360845295247,-0.38634512569312696,0.16438218783088698,-0.14649075862008726,0.4042365549039267,0.14070932803824213,-0.6873544353694576,-0.8598729933418094,-0.9503800829845608,-0.9904505325161155
1943-01-04 15:00:00,0.707106781186549,0.08405052492924897,-0.3936502181619403,0.15672828151230436,-0.15479984661634566,0.39557865305789897,0.13250236265128587,-0.692342049044829,-0.8629651927543439,-0.9520626777139239,-0.9911194635129406
1943-01-04 16:00:00,0.6990124470078838,0.0747300935864262,-0.4009305354066124,0.1490409558006357,-0.1631002209100931,0.386871270297155,0.12427066839589922,-0.6972968010939946,-0.866025403784438,-0.9537169507482266,-0.9917642114841503
1943-01-04 17:00:00,0.6908275475352158,0.06540312923014509,-0.4081856192247014,0.1413209641552572,-0.17139124499727817,0.37811533838268047,0.11601501918021984,-0.7022184563424335,-0.8690535129962299,-0.9553428528766158,-0.9923847606980822
1943-01-04 18:00:00,0.6825531432186561,0.05607044723719388,-0.41541501300188466,0.13356906510838573,-0.17967228288234538,0.369311795227925,0.10773619248465512,-0.7071067811865464,-0.8720494081438068,-0.9569403357322085,-0.9929810960135168
1943-01-04 19:00:00,0.6741903061047226,0.046732863484204946,-0.4226182617406975,0.12578602218201257,-0.18794269912824627,0.3604615847944638,0.09943496928274335,-0.7119615436047416,-0.8750129781753669,-0.95850935179353,-0.9935532028800464
1943-01-04 20:00:00,0.6657401196974432,0.03739119427632831,-0.4297949120891694,0.11797260380413688,-0.19620185890642056,0.35156565698688574,0.09111213396153402,-0.71678251316845,-0.8779441132373351,-0.9600498543859283,-0.9941010673384304
